Work Experience,Status
No,Placed
No,Not Placed
Yes,Placed
No,Not Placed
No,Not Placed
No,Not Placed
No,Placed
No,Placed
No,Placed
No,Placed
No,Not Placed
No,Placed
No,Not Placed
No,Placed
No,Placed
No,Placed
Yes,Not Placed
No,Placed
No,Not Placed
No,Not Placed
No,Not Placed
No,Placed
No,Not Placed
No,Not Placed
No,Placed
No,Placed
No,Placed
No,Not Placed
No,Not Placed
No,Placed
No,Not Placed
No,Not Placed
No,Not Placed
Yes,Placed
No,Not Placed
No,Placed
Yes,Placed
No,Not Placed
No,Not Placed
Yes,Not Placed
No,Placed
Yes,Placed
Yes,Placed
No,Not Placed
No,Placed
Yes,Not Placed
No,Placed
No,Not Placed
No,Placed
No,Placed
Yes,Placed
No,Not Placed
Yes,Placed
Yes,Placed
Yes,Placed
No,Placed
Yes,Placed
Yes,Placed
Yes,Placed
No,Placed
No,Placed
No,Not Placed
No,Placed
No,Placed
Yes,Not Placed
Yes,Not Placed
Yes,Placed
No,Not Placed
Yes,Placed
No,Not Placed
Yes,Placed
Yes,Not Placed
No,Not Placed
No,Not Placed
No,Placed
No,Not Placed
No,Not Placed
No,Placed
No,Placed
No,Not Placed
No,Not Placed
No,Placed
No,Not Placed
No,Placed
Yes,Placed
Yes,Placed
No,Placed
No,Not Placed
No,Placed
No,Not Placed
No,Placed
No,Placed
No,Not Placed
No,Placed
No,Not Placed
